Mark;Site;Longit_d;Latit_d;Altit_d;X_m;Y_m;Z_m;Country;Section
720;720;87.71224;43.79676;900.751;184094.731;4608108.708;4392442.990;China;
2100;2100;87.68651;43.79479;902.721;186170.656;4608178.544;4392286.149;China;
AAC4;AACH;73.75466;42.16804;2263.169;1324947.743;4547063.669;4260975.701;Kyrgyzstan;
AACH;AACH;73.75467;42.16806;2262.928;1324945.818;4547062.314;4260977.350;Kyrgyzstan;
ABD5;ABDU;72.04979;41.78405;1102.343;1468168.951;4531956.227;4228482.646;Kyrgyzstan;
ABDU;ABDU;72.04999;41.78407;1107.096;1468153.615;4531963.126;4228487.801;Kyrgyzstan;
ABD4;ABDU;72.05016;41.78408;1109.159;1468141.071;4531968.126;4228489.910;Kyrgyzstan;
ABD6;ABDU;72.05016;41.78408;1108.959;1468140.386;4531968.300;4228489.888;Kyrgyzstan;
ABSH;ABSH;76.45319;42.13989;2267.296;1109890.721;4606445.377;4258659.124;Kyrgyzstan;
ABS5;ABSH;76.45319;42.13991;2267.236;1109890.266;4606443.567;4258661.094;Kyrgyzstan;
ABS4;ABSH;76.45324;42.13992;2267.243;1109886.304;4606443.597;4258662.103;Kyrgyzstan;
ACH4;ACH4;74.74479;41.18401;2282.960;1265307.013;4639429.246;4179327.500;Kyrgyzstan;
ACH5;ACH4;74.74479;41.18404;2282.855;1265306.400;4639427.077;4179329.916;Kyrgyzstan;
ADA5;ADAR;75.52485;44.13148;599.199;1146253.838;4440176.603;4419006.181;Kazakhstan;
ADA4;ADAR;75.52482;44.13149;599.147;1146256.085;4440175.018;4419007.102;Kazakhstan;
ADAR;ADAR;75.52487;44.13149;598.989;1146251.843;4440176.442;4419006.568;Kazakhstan;
ADA1;ADAR;75.52486;44.13151;597.591;1146253.787;4440173.419;4419007.120;Kazakhstan;
ADA6;ADAR;75.52493;44.13157;598.104;1146246.084;4440170.963;4419012.239;Kazakhstan;
AIB4;AIB4;79.96849;42.89626;1864.973;815412.628;4609606.600;4320335.257;Kazakhstan;
AKA4;AKAY;76.79672;42.15655;1966.879;1081917.431;4611590.571;4259830.337;Kyrgyzstan;
AKA5;AKAY;76.79670;42.15657;1967.389;1081919.221;4611589.408;4259831.898;Kyrgyzstan;
AKAY;AKAY;76.79666;42.15658;1967.710;1081921.672;4611588.035;4259833.245;Kyrgyzstan;
AKB4;AKBA;76.95643;42.07270;1982.365;1070472.225;4620686.124;4252929.565;Kyrgyzstan;
AKBA;AKBA;76.95643;42.07270;1982.365;1070473.967;4620685.546;4252928.681;Kyrgyzstan;
AKB7;AKBA;76.95641;42.07272;1981.389;1070471.906;4620684.018;4252930.499;Kyrgyzstan;
AKC4;AKC4;75.07417;41.36729;1719.973;1235046.661;4633239.042;4194258.313;Kyrgyzstan;
AKC5;AKC4;75.07421;41.36730;1719.853;1235042.795;4633238.552;4194259.801;Kyrgyzstan;
AKD4;AKDR;80.13471;47.88171;572.605;734307.323;4222493.550;4708489.904;Kazakhstan;
AKD5;AKDR;80.13471;47.88173;572.822;734307.314;4222492.075;4708491.566;Kazakhstan;
AKDR;AKDR;80.13471;47.88173;572.822;734305.261;4222495.321;4708488.271;Kazakhstan;
AKJ6;AKJL;72.14494;41.55706;772.624;1465705.845;4550109.881;4209428.701;Kyrgyzstan;
AKJ4;AKJL;72.14494;41.55708;772.626;1465705.477;4550108.488;4209430.315;Kyrgyzstan;
AKJ5;AKJL;72.14493;41.55715;774.219;1465704.376;4550104.058;4209437.853;Kyrgyzstan;
AKJL;AKJL;72.14496;41.55719;775.140;1465701.841;4550102.740;4209441.621;Kyrgyzstan;
AKK4;AKKM;76.85378;42.88532;2719.746;1065003.225;4559906.683;4320026.610;Kyrgyzstan;
AKME;AKME;76.98110;36.84606;3003.700;1151741.251;4981242.813;3805537.002;China;
AKS5;AKSA;75.96706;40.71702;3337.707;1174494.525;4699126.209;4140832.880;Kyrgyzstan;
AKSA;AKSA;75.96709;40.71709;3340.283;1174491.113;4699124.162;4140840.128;Kyrgyzstan;
AKS4;AKSA;75.96714;40.71713;3341.224;1174486.398;4699122.773;4140844.441;Kyrgyzstan;
AKS6;AKSA;75.96729;40.71739;3340.006;1174469.056;4699107.057;4140865.157;Kyrgyzstan;
AKH4;AKSH;78.54173;41.79523;3445.155;946539.408;4669792.872;4230970.293;Kyrgyzstan;
AKSH;AKSH;78.54180;41.79526;3444.764;946534.557;4669791.316;4230972.723;Kyrgyzstan;
AKH6;AKSH;78.54170;41.79527;3445.860;946541.176;4669789.632;4230974.510;Kyrgyzstan;
AKH5;AKSH;78.54172;41.79527;3445.980;946539.349;4669790.208;4230974.462;Kyrgyzstan;
AKTA;AKTA;78.96608;39.87701;1062.140;938250.311;4811665.168;4068197.385;China;
AKTE;AKTE;76.38688;42.61851;1961.570;1106731.182;4570098.134;4297739.373;Kyrgyzstan;
KTE4;AKTE;76.38696;42.61851;1962.995;1106725.361;4570100.135;4297740.783;Kyrgyzstan;
AKT4;AKTO;79.85126;43.42706;1223.512;817650.556;4567750.474;4362921.234;Kazakhstan;
KTY4;AKTY;76.19752;42.89515;2709.495;1116980.551;4546680.307;4320820.037;Kyrgyzstan;
AKTY;AKTY;76.19762;42.89521;2709.010;1116971.348;4546677.610;4320824.465;Kyrgyzstan;
AKU4;AKU4;75.32031;41.48046;1908.845;1213059.138;4630591.581;4203811.285;Kyrgyzstan;
AKU5;AKU4;75.32029;41.48049;1908.950;1213060.132;4630589.673;4203813.248;Kyrgyzstan;
ALAA;ALAA;74.51683;42.68519;1370.419;1253820.879;4526292.101;4302789.339;Kyrgyzstan;
ALAB;ALAB;71.46034;41.36215;1153.886;1524615.783;4546133.696;4193456.226;Kyrgyzstan;
ALA6;ALAB;71.46036;41.36216;1153.951;1524613.805;4546133.364;4193457.324;Kyrgyzstan;
ALA4;ALAB;71.46033;41.36220;1154.003;1524615.254;4546130.547;4193459.914;Kyrgyzstan;
ALA5;ALAB;71.46025;41.36228;1154.766;1524619.586;4546123.504;4193466.977;Kyrgyzstan;
ALAT;ALAT;74.71356;42.78927;912.223;1236114.170;4522675.811;4310971.852;Kyrgyzstan;
ALBL;ALBL;76.16610;42.31227;1657.280;1129772.664;4587888.255;4272432.793;Kyrgyzstan;
ALB5;ALBL;76.16697;42.31333;1654.347;1129683.839;4587826.635;4272517.450;Kyrgyzstan;
ALB1;ALBL;76.16701;42.31339;1653.608;1129678.750;4587822.200;4272522.480;Kyrgyzstan;
ALB6;ALBL;76.16699;42.31342;1653.550;1129680.411;4587820.042;4272524.188;Kyrgyzstan;
ALD4;ALDR;72.25781;39.42135;2845.784;1504155.994;4701187.111;4030368.425;Kyrgyzstan;
ALDR;ALDR;72.25780;39.42136;2845.820;1504155.916;4701186.400;4030369.304;Kyrgyzstan;
ALD5;ALDR;72.25782;39.42136;2845.932;1504154.481;4701186.685;4030369.682;Kyrgyzstan;
LJM4;ALJM;73.22090;41.57146;2052.051;1379975.521;4576730.118;4211475.191;Kyrgyzstan;
ALM5;ALMA;69.73028;40.82856;737.531;1674559.114;4534281.541;4148518.815;Uzbekistan;
ALM1;ALMA;69.73030;40.82858;737.879;1674556.950;4534281.057;4148520.731;Uzbekistan;
ALM4;ALMA;69.73029;40.82860;737.527;1674557.468;4534279.212;4148521.999;Uzbekistan;
ALS4;ALS4;72.59114;40.76606;754.402;1447524.807;4616546.200;4143277.352;Uzbekistan;
ALS5;ALS4;72.59110;40.76607;754.616;1447527.999;4616544.506;4143278.446;Uzbekistan;
ALT6;ALTY;77.76325;43.90803;651.489;975622.252;4498457.917;4401186.945;Kazakhstan;
ALT5;ALTY;77.76327;43.90804;651.913;975620.490;4498457.968;4401187.910;Kazakhstan;
ALT4;ALTY;77.76330;43.90805;652.065;975618.345;4498458.068;4401188.482;Kazakhstan;
ALTY;ALTY;77.76326;43.90806;650.721;975621.565;4498455.743;4401188.549;Kazakhstan;
ALU7;ALUN;74.24428;40.33062;2229.938;1322580.440;4687726.345;4107483.421;Kyrgyzstan;
ALUN;ALUN;74.24430;40.33064;2230.179;1322579.558;4687726.035;4107484.492;Kyrgyzstan;
ALU2;ALUN;74.24431;40.33066;2229.882;1322577.783;4687724.396;4107486.395;Kyrgyzstan;
ALU1;ALUN;74.24397;40.33079;2226.839;1322602.801;4687705.000;4107495.678;Kyrgyzstan;
ALZ4;ALZR;69.91249;41.60803;879.810;1640569.496;4486106.374;4213738.208;Uzbekistan;
ANA5;ANAN;77.60339;42.79033;1910.372;1006668.125;4579880.416;4311735.418;Kyrgyzstan;
ANA6;ANAN;77.60331;42.79035;1908.812;1006673.835;4579876.154;4311736.291;Kyrgyzstan;
ANA4;ANAN;77.60343;42.79036;1911.611;1006664.959;4579879.993;4311738.449;Kyrgyzstan;
ANAN;ANAN;77.60348;42.79152;1929.541;1006645.648;4579808.070;4311845.010;Kyrgyzstan;
AND4;ANDR;69.51421;39.73677;1844.238;1719378.952;4602166.766;4056732.397;Kyrgyzstan;
AND1;ANDR;69.51422;39.73678;1844.040;1719377.897;4602166.137;4056733.215;Kyrgyzstan;
ANDR;ANDR;69.51424;39.73679;1843.928;1719376.325;4602166.146;4056733.688;Kyrgyzstan;
AND5;ANDR;69.51422;39.73680;1843.814;1719377.778;4602165.013;4056734.189;Kyrgyzstan;
ANG4;ANGR;70.01962;40.79819;1471.705;1652580.856;4545274.310;4146446.641;Uzbekistan;
ANGR;ANGR;70.01968;40.79821;1470.090;1652575.496;4545273.496;4146447.234;Uzbekistan;
ARAB;ARAB;77.74976;41.85950;3751.877;1010034.222;4651831.647;4236497.692;Kyrgyzstan;
ARA4;ARAB;77.74986;41.85956;3754.240;1010024.086;4651830.871;4236504.236;Kyrgyzstan;
ARA5;ARAB;77.74986;41.85956;3754.240;1010021.984;4651829.819;4236506.080;Kyrgyzstan;
ARA6;ARAB;77.74986;41.85956;3754.240;1010020.934;4651826.701;4236510.707;Kyrgyzstan;
ARAC;ARAL;81.32533;40.61034;948.943;731433.868;4794113.101;4130286.594;Kyrgyzstan;
ARAL;ARAL;81.32533;40.61034;948.886;731433.771;4794113.069;4130286.599;Kyrgyzstan;
RAL4;ARAL;74.25172;41.91180;1583.247;1290488.461;4576250.248;4239376.119;Kyrgyzstan;
RAS5;ARAS;82.30595;46.12136;691.863;592980.643;4389211.952;4575106.237;Kazakhstan;
ARAS;ARAS;82.30603;46.12139;692.662;592974.248;4389210.465;4575109.618;Kazakhstan;
RAS4;ARAS;82.30601;46.12141;692.876;592975.834;4389209.026;4575111.040;Kazakhstan;
ARC5;ARCH;76.66482;41.69275;2609.231;1100582.525;4643056.670;4221917.351;Kyrgyzstan;
ARCH;ARCH;76.66490;41.69278;2608.484;1100575.953;4643055.790;4221918.965;Kyrgyzstan;
ARC4;ARCH;76.66492;41.69279;2608.696;1100574.013;4643055.257;4221920.283;Kyrgyzstan;
ARGN;ARGN;79.65674;46.64889;456.367;787568.053;4315184.609;4615389.370;Kazakhstan;
ARG5;ARGN;79.65679;46.64889;456.360;787564.477;4315184.895;4615389.673;Kazakhstan;
ARG4;ARGN;79.65673;46.64891;456.481;787568.660;4315182.590;4615391.258;Kazakhstan;
ARP5;ARP0;74.82700;40.83745;3240.757;1265450.930;4666322.998;4150901.547;Kyrgyzstan;
ARP0;ARP0;74.82705;40.83745;3240.814;1265447.199;4666323.815;4150901.908;Kyrgyzstan;
ARP6;ARP0;74.82706;40.83745;3240.811;1265446.408;4666323.756;4150902.146;Kyrgyzstan;
ARP4;ARP0;74.82701;40.83746;3241.064;1265449.896;4666322.341;4150903.051;Kyrgyzstan;
ARS6;ARS0;72.98141;41.24319;958.861;1405912.751;4593201.589;4183400.949;Kyrgyzstan;
ARS0;ARS0;72.98143;41.24337;960.155;1405907.394;4593191.021;4183416.291;Kyrgyzstan;
ARS5;ARS0;72.98141;41.24365;961.076;1405903.119;4593171.259;4183440.599;Kyrgyzstan;
ARS4;ARS0;72.98148;41.24386;960.904;1405893.696;4593158.217;4183457.708;Kyrgyzstan;
ARTB;ARTB;87.28193;51.79856;461.474;187451.603;3948436.101;4989336.189;Russia;
ARTH;ARTH;87.28084;51.79837;462.999;187527.559;3948450.722;4989323.787;Russia;
ASK5;ASKL;73.53757;40.07474;1904.105;1385427.750;4688412.534;4085565.023;Kyrgyzstan;
ASKL;ASKL;73.53754;40.07477;1903.266;1385429.492;4688409.264;4085566.865;Kyrgyzstan;
ASK4;ASKL;73.53754;40.07479;1903.197;1385428.935;4688407.585;4085568.845;Kyrgyzstan;
ASR4;ASKR;81.10472;50.09096;352.305;634030.717;4051017.908;4869556.736;Kazakhstan;
ASKR;ASKR;81.10475;50.09100;352.271;634028.583;4051015.410;4869559.102;Kazakhstan;
ASP4;ASPR;73.49382;42.70025;1791.124;1334198.223;4502393.132;4304303.260;Kyrgyzstan;
ASS4;ASSY;78.14793;43.30962;2093.641;955033.071;4550818.395;4354030.830;Kazakhstan;
AST4;ASTR;76.96570;43.05853;2710.216;1053131.871;4549187.697;4334105.679;Kazakhstan;
AST5;ASTR;76.96567;43.05855;2710.344;1053133.891;4549186.377;4334106.755;Kazakhstan;
ASTR;ASTR;76.96570;43.05857;2709.303;1053131.562;4549184.094;4334108.238;Kazakhstan;
AST6;ASTR;76.96564;43.05859;2709.736;1053135.935;4549181.707;4334110.237;Kazakhstan;
ATAK;ATAK;76.86863;43.33701;699.054;1055691.779;4525340.227;4355288.323;Kazakhstan;
AZO4;AZOK;77.11445;43.89657;432.962;1026659.319;4487829.744;4400117.602;Kazakhstan;
AZO5;AZOK;77.11445;43.89657;432.830;1026659.200;4487829.879;4400117.302;Kazakhstan;
AZOK;AZOK;77.11445;43.89658;431.590;1026660.877;4487827.611;4400117.437;Kazakhstan;
AZO6;AZOK;77.11442;43.89659;433.175;1026661.746;4487827.720;4400119.399;Kazakhstan;
BAB4;BABA;73.26775;39.51251;3440.629;1419338.457;4721244.471;4038564.157;Kyrgyzstan;
BABA;BABA;73.26775;39.51254;3440.153;1419338.003;4721242.125;4038566.292;Kyrgyzstan;
BAB5;BABA;73.26773;39.51255;3440.052;1419339.330;4721240.758;4038567.257;Kyrgyzstan;
BACH;BACH;78.54008;39.77649;1071.506;975420.609;4811570.729;4059629.345;China;
BAL4;BAL4;67.70077;39.75737;1074.772;1863370.376;4543556.475;4057995.265;Uzbekistan;
BALN;BALN;86.31196;42.75499;1740.329;301792.432;4682034.711;4308737.765;China;
BAR4;BARS;77.61607;42.00750;2295.478;1018294.414;4637669.916;4247758.593;Kyrgyzstan;
BAU5;BAUK;75.01921;41.57607;2007.238;1235575.917;4617421.288;4211828.098;Kyrgyzstan;
BAU6;BAUK;75.01921;41.57609;2007.235;1235575.263;4617420.236;4211829.425;Kyrgyzstan;
BAUK;BAUK;75.01922;41.57610;2007.362;1235574.222;4617419.588;4211830.684;Kyrgyzstan;
BAU4;BAUK;75.01920;41.57612;2008.637;1235575.846;4617418.897;4211832.832;Kyrgyzstan;
BAY4;BAYB;75.08282;41.07930;3267.489;1240074.810;4654924.526;4171212.674;Kyrgyzstan;
BAY5;BAYB;75.08283;41.07934;3266.954;1240072.763;4654921.462;4171215.865;Kyrgyzstan;
BAY6;BAYB;75.08282;41.07939;3266.089;1240072.360;4654917.165;4171219.425;Kyrgyzstan;
BAYB;BAYB;75.08282;41.07939;3265.937;1240072.983;4654917.333;4171218.878;Kyrgyzstan;
BAS4;BAYS;67.16547;38.20646;1346.257;1947863.744;4625976.312;3924310.001;Uzbekistan;
BAYS;BAYS;67.16548;38.20650;1346.769;1947861.585;4625974.669;3924313.902;Uzbekistan;
BAS5;BAYS;67.16544;38.20651;1347.051;1947864.668;4625972.593;3924315.188;Uzbekistan;
BEA4;BEA4;70.54476;40.49858;327.326;1617785.230;4579847.519;4120455.864;Uzbekistan;
ELB4;BELB;76.46824;41.81980;3326.316;1114432.354;4630632.037;4232926.778;Kyrgyzstan;
BELB;BELB;76.46828;41.81982;3326.254;1114428.773;4630631.738;4232927.962;Kyrgyzstan;
ELG4;BELG;74.21489;42.61791;1604.205;1279080.298;4524660.482;4297448.619;Kyrgyzstan;
ELS4;BELS;75.05128;42.62368;1729.573;1212808.365;4542519.079;4298005.200;Kyrgyzstan;
BER4;BERI;75.65722;42.95729;1966.275;1158506.465;4530861.390;4325369.906;Kazakhstan;
BES4;BESH;75.79496;42.81776;1266.918;1150074.176;4543365.340;4313534.814;Kyrgyzstan;
BESH;BESH;75.79483;42.81782;1267.243;1150083.035;4543359.104;4313539.305;Kyrgyzstan;
BET5;BETJ;75.03014;40.64640;3275.816;1252484.469;4684189.269;4134841.945;Kyrgyzstan;
BET4;BETJ;75.03005;40.64641;3276.284;1252491.745;4684187.093;4134842.919;Kyrgyzstan;
BETJ;BETJ;75.03010;40.64641;3276.132;1252487.428;4684188.221;4134842.786;Kyrgyzstan;
BET6;BETJ;75.03012;40.64641;3275.983;1252486.018;4684188.442;4134842.682;Kyrgyzstan;
BIN4;BIEN;79.41555;45.13648;1464.448;828029.680;4431185.453;4499098.612;Kazakhstan;
BIEN;BIEN;79.41556;45.13650;1464.267;828028.461;4431183.970;4499100.097;Kazakhstan;
BIN5;BIEN;79.41560;45.13651;1464.128;828025.433;4431184.039;4499100.353;Kazakhstan;
BKE5;BKEL;75.42566;40.75723;3584.618;1218157.263;4685178.429;4144378.775;Kyrgyzstan;
BKE4;BKEL;75.42571;40.75725;3585.011;1218152.976;4685178.527;4144380.525;Kyrgyzstan;
BKEL;BKEL;75.42573;40.75726;3584.862;1218150.504;4685178.063;4144381.535;Kyrgyzstan;
BOK4;BOKT;73.21170;42.76750;1443.835;1354813.002;4490669.482;4309556.904;Kazakhstan;
BOM4;BOM4;77.03240;42.13879;1657.715;1063184.958;4617068.706;4258160.024;Kyrgyzstan;
BOM5;BOM4;77.03239;42.13882;1657.521;1063184.980;4617066.241;4258162.385;Kyrgyzstan;
BOL5;BORL;83.98372;49.03809;350.834;439102.718;4166392.093;4793601.676;Kazakhstan;
BOL4;BORL;83.98376;49.03811;350.847;439099.241;4166390.708;4793603.205;Kazakhstan;
BORL;BORL;83.98372;49.03812;350.787;439102.719;4166389.532;4793603.871;Kazakhstan;
BOS4;BOS4;68.95541;41.13180;281.716;1727670.506;4490284.980;4173646.947;Uzbekistan;
BOZ4;BOZB;71.79230;41.49511;1398.779;1495255.032;4545781.699;4204691.593;Kyrgyzstan;
BOZB;BOZB;71.79226;41.49516;1398.089;1495256.793;4545776.853;4204695.198;Kyrgyzstan;
BOZ5;BOZB;71.79230;41.49516;1397.966;1495252.798;4545777.788;4204695.622;Kyrgyzstan;
BOZO;BOZO;77.13946;42.72320;2202.992;1044894.615;4576726.017;4306457.466;Kyrgyzstan;
BOZT;BOZT;77.15406;42.66733;1763.062;1044591.383;4580782.155;4301595.680;Kyrgyzstan;
BRK4;BRK4;68.63835;41.32314;261.963;1747385.178;4467600.955;4189614.239;Kazakhstan;
BRL6;BRLD;70.52007;42.56870;1295.664;1569158.739;4436103.659;4293214.591;Kazakhstan;
BRL5;BRLD;70.52006;42.56873;1295.855;1569158.655;4436101.467;4293217.148;Kazakhstan;
BRLD;BRLD;70.52012;42.56874;1296.269;1569154.288;4436102.176;4293217.817;Kazakhstan;
BRL4;BRLD;70.52015;42.56875;1296.392;1569151.641;4436102.770;4293219.138;Kazakhstan;
BRT5;BRT4;76.96622;42.14379;1878.798;1068469.764;4615634.131;4258720.404;Kyrgyzstan;
BRT4;BRT4;76.96619;42.14382;1878.836;1068472.001;4615631.297;4258722.952;Kyrgyzstan;
BTK5;BTKN;70.76461;40.04834;1094.633;1611041.559;4617094.853;4082799.708;Kyrgyzstan;
BTKN;BTKN;70.76458;40.04836;1093.853;1611042.736;4617091.720;4082801.554;Kyrgyzstan;
BTK4;BTKN;70.76457;40.04842;1093.630;1611042.007;4617087.834;4082805.857;Kyrgyzstan;
BTR6;BTRK;75.02008;41.18566;2159.910;1242946.161;4645248.827;4179384.694;Kyrgyzstan;
BTRK;BTRK;75.01993;41.18572;2157.341;1242956.525;4645239.478;4179388.111;Kyrgyzstan;
BTR4;BTRK;75.01994;41.18572;2157.655;1242955.861;4645239.906;4179388.255;Kyrgyzstan;
BTR5;BTRK;75.01989;41.18577;2156.626;1242959.289;4645234.660;4179391.472;Kyrgyzstan;
BURK;BURK;79.05314;42.26062;2843.872;898159.710;4643622.248;4268984.788;Kyrgyzstan;
BUR4;BURK;79.05316;42.26063;2844.518;898158.445;4643621.998;4268986.345;Kyrgyzstan;
BUS5;BUS4;69.57736;41.30330;512.242;1674508.436;4497176.208;4188124.879;Uzbekiston;
BUS4;BUS4;69.57740;41.30330;512.383;1674505.021;4497177.514;4188125.057;Uzbekiston;
BUY5;BUYG;73.79535;40.48867;1694.078;1355980.277;4665899.960;4120502.805;Kyrgyzstan;
BUY4;BUYG;73.79536;40.48872;1695.854;1355978.484;4665898.225;4120508.100;Kyrgyzstan;
BUZ4;BUZU;76.43230;42.81076;2166.486;1099743.343;4557032.399;4313575.593;Kyrgyzstan;
BUZU;BUZU;76.43238;42.81082;2165.002;1099735.592;4557028.786;4313579.168;Kyrgyzstan;
BYST;BYST;75.72933;42.74846;1321.385;1156575.937;4547152.716;4307920.247;Kyrgyzstan;
BYS4;BYST;75.72915;42.74852;1322.072;1156589.417;4547145.028;4307925.733;Kyrgyzstan;
CAR1;CAR1;68.10363;41.24454;276.181;1791154.832;4456453.318;4183063.493;Kazakhstan;
CAUV;CAUV;72.08964;40.19872;1054.564;1500525.099;4642843.576;4095544.756;Kyrgyzstan;
CHK6;CHAK;77.73881;41.52674;3210.930;1016059.392;4675279.490;4208524.585;Kyrgyzstan;
CHK5;CHAK;77.73887;41.52684;3206.782;1016052.015;4675270.173;4208530.377;Kyrgyzstan;
CHAK;CHAK;77.73898;41.52688;3204.568;1016042.512;4675267.782;4208531.984;Kyrgyzstan;
CHK4;CHAK;77.73883;41.52691;3204.169;1016053.757;4675262.816;4208534.136;Kyrgyzstan;
CHA4;CHAT;71.72084;42.01451;2902.869;1489220.969;4508487.417;4248744.237;Kyrgyzstan;
CHA5;CHAT;71.72089;42.01455;2902.848;1489215.950;4508485.934;4248747.475;Kyrgyzstan;
CHA6;CHAT;71.72089;42.01461;2901.860;1489214.358;4508480.968;4248751.791;Kyrgyzstan;
CEK4;CHEK;75.74998;40.68585;3597.297;1192893.536;4697022.504;4138376.622;Kyrgyzstan;
CHE4;CHEN;75.71087;42.45854;2962.480;1163721.740;4569083.491;4285318.242;Kyrgyzstan;
CET4;CHET;76.45031;42.08503;2267.012;1111079.759;4610363.046;4254137.277;Kyrgyzstan;
CET5;CHET;76.45037;42.08504;2265.346;1111074.711;4610362.176;4254137.041;Kyrgyzstan;
CHG4;CHGR;73.31674;40.24071;2454.474;1400192.451;4672054.370;4100008.419;Kyrgyzstan;
CHG5;CHGR;73.31674;40.24071;2454.504;1400192.387;4672054.369;4100008.462;Kyrgyzstan;
CHGR;CHGR;73.31675;40.24072;2454.470;1400191.109;4672054.209;4100009.064;Kyrgyzstan;
CHI5;CHI4;74.21166;41.07641;2260.799;1310557.508;4635006.230;4170307.468;Kyrgyzstan;
CHIR;CHI4;74.21167;41.07642;2260.822;1310554.620;4635004.670;4170310.129;Kyrgyzstan;
CHIA;CHIA;86.31274;50.64401;1249.183;260683.635;4045131.082;4909492.404;Russia;
CKT5;CHKT;76.66645;42.05971;2099.053;1094085.953;4616234.777;4251936.231;Kyrgyzstan;
CHKT;CHKT;76.66648;42.05971;2099.588;1094084.033;4616235.442;4251936.811;Kyrgyzstan;
CKT4;CHKT;76.66648;42.05976;2100.534;1094083.201;4616232.629;4251941.459;Kyrgyzstan;
CHLK;CHLK;78.37318;43.52911;712.083;933553.262;4537134.440;4370797.295;Kazakhstan;
SE06;CHLK;78.37318;43.52911;712.060;933553.309;4537134.437;4370797.281;Kazakhstan;
CHL5;CHLZ;77.84446;43.26710;2720.116;979901.271;4549309.608;4351020.560;Kazakhstan;
CHL4;CHLZ;77.84458;43.26711;2719.549;979891.989;4549310.468;4351020.915;Kazakhstan;
CHLZ;CHLZ;77.84461;43.26711;2718.404;979889.116;4549309.710;4351020.753;Kazakhstan;
CHL6;CHLZ;77.84455;43.26712;2720.010;979893.975;4549309.310;4351022.349;Kazakhstan;
HOK4;CHOK;76.76744;42.64109;2005.870;1075971.354;4575725.367;4299615.950;Kyrgyzstan;
CHOK;CHOK;76.76754;42.64112;2004.490;1075961.280;4575723.936;4299617.595;Kyrgyzstan;
CHOL;CHOL;77.07382;42.71782;2469.281;1050272.772;4576112.373;4306198.615;Kyrgyzstan;
CHO5;CHOL;77.07365;42.71788;2474.937;1050284.222;4576108.298;4306207.138;Kyrgyzstan;
CHO4;CHOL;77.07493;42.71864;2475.329;1050169.328;4576076.174;4306269.652;Kyrgyzstan;
CHON;CHON;73.80220;42.42545;1966.326;1315743.464;4529466.341;4281932.090;Kyrgyzstan;
HON4;CHON;73.80219;42.42547;1966.770;1315744.076;4529465.311;4281933.675;Kyrgyzstan;
CHR6;CHRN;78.97555;43.27132;1020.038;889609.048;4566235.700;4350196.858;Kazakhstan;
CHR4;CHRN;78.97553;43.27134;1021.510;889610.677;4566234.768;4350199.648;Kazakhstan;
CHRN;CHRN;78.97550;43.27135;1020.904;889613.360;4566232.841;4350200.298;Kazakhstan;
CHR5;CHRN;78.97553;43.27135;1021.791;889610.228;4566234.204;4350200.738;Kazakhstan;
CHRT;CHRT;73.06647;42.49295;2088.101;1372346.842;4507440.098;4287548.062;Kyrgyzstan;
HRT4;CHRT;73.06652;42.49301;2088.484;1372342.190;4507437.308;4287553.024;Kyrgyzstan;
CHSH;CHSH;74.75110;42.99850;716.285;1228950.719;4508079.891;4327868.475;Unknown;
CHT4;CHTI;76.05169;41.33432;2640.534;1156572.930;4656654.236;4192116.747;Kyrgyzstan;
CHU4;CHU0;74.00149;43.42299;574.011;1278895.096;4460474.437;4362146.219;Kazakhstan;
CHU0;CHU0;74.00147;43.42301;573.872;1278896.255;4460472.330;4362148.050;Kazakhstan;
CHU1;CHU0;74.00151;43.42305;574.201;1278892.325;4460471.143;4362150.683;Kazakhstan;
CHU5;CHU0;74.00151;43.42305;574.201;1278889.034;4460477.156;4362146.406;Kazakhstan;
CHU6;CHU0;74.00151;43.42305;574.201;1278889.417;4460475.263;4362148.301;Kazakhstan;
CHUM;CHUM;74.75110;42.99850;716.339;1228950.990;4508079.867;4327868.478;Kazakhstan;_GPS - _3PS
CHY4;CHYK;72.87480;41.96597;1072.700;1398784.494;4539712.545;4243511.298;Kyrgyzstan;
CHY5;CHYK;72.87482;41.96598;1073.256;1398782.382;4539712.630;4243512.717;Kyrgyzstan;
CHY6;CHYK;72.87485;41.96599;1073.785;1398779.734;4539712.932;4243514.042;Kyrgyzstan;
CHYK;CHYK;72.87512;41.96619;1084.392;1398757.169;4539713.271;4243537.014;Kyrgyzstan;
CIR4;CIRC;69.66248;41.57558;791.188;1660940.240;4481088.449;4210980.470;Uzbekistan;
CKO5;CKO4;74.33591;42.94932;633.139;1262574.935;4502584.336;4323813.423;Kyrgyzstan;
CKO4;CKO4;74.33594;42.94933;633.201;1262572.221;4502583.957;4323814.697;Kyrgyzstan;
DACH;DACH;74.64266;42.78937;1072.858;1241738.529;4521248.592;4311088.803;Kyrgyzstan;
DAFN;DAFN;86.53451;44.07372;765.121;277472.110;4581936.751;4414514.038;China;
DAL5;DALA;78.45724;43.13689;1565.366;933004.925;4568410.292;4339681.912;Kazakhstan;
DALA;DALA;78.45720;43.13690;1566.444;933008.615;4568409.892;4339682.857;Kazakhstan;
DAL4;DALA;78.45726;43.13690;1565.277;933003.305;4568409.626;4339682.817;Kazakhstan;
DAL6;DALA;78.45725;43.13693;1565.746;933003.954;4568407.908;4339685.160;Kazakhstan;
